City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Sorland,NO,67.667,12.6934,287.1,89,100,3.15,overcast clouds
260,Jizan,SA,17.3333,42.6667,304.67,66,33,2.4,scattered clouds
261,Nanortalik,GL,60.1432,-45.2371,280.17,77,2,0.96,clear sky
262,Xingyi,CN,24.1877,102.817,291.58,94,100,0.37,overcast clouds
263,Pisco,PE,-13.7,-76.2167,290.18,77,0,7.72,clear sky
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,294.32,84,15,6.38,few clouds
265,Kashi,CN,39.4547,75.9797,297.18,35,0,3.0,clear sky
266,Paamiut,GL,61.994,-49.6678,278.99,87,97,5.02,overcast clouds
267,Arraial Do Cabo,BR,-22.9661,-42.0278,294.13,83,0,6.69,clear sky
268,Rio Grande,BR,-32.035,-52.0986,287.45,97,100,4.23,overcast clouds
269,Nadvoitsy,RU,63.8667,34.3167,288.07,97,98,2.98,overcast clouds
270,Palmer,US,42.1584,-72.3287,297.49,75,75,2.06,broken clouds
271,Prince Albert,CA,53.2001,-105.7677,292.12,68,75,2.06,broken clouds
272,Gat,IL,31.61,34.7642,299.53,100,0,0.95,clear sky
273,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,286.48,77,75,1.0,broken clouds
274,Cacu,BR,-18.5567,-51.1308,295.66,32,63,2.54,broken clouds
275,Puerto Colombia,CO,10.9878,-74.9547,301.2,79,40,9.09,scattered clouds
276,Tasiilaq,GL,65.6145,-37.6368,282.24,97,100,3.19,moderate rain
277,Malakal,SS,9.5334,31.6605,295.47,92,100,1.7,light rain
278,Kutum,SD,14.2,24.6667,293.72,80,53,3.47,broken clouds
279,Castro,BR,-24.7911,-50.0119,288.37,60,11,1.65,few clouds
280,Vardo,NO,70.3705,31.1107,285.12,86,59,3.99,broken clouds
281,Butaritari,KI,3.0707,172.7902,301.57,65,10,5.4,clear sky
282,Kulhudhuffushi,MV,6.6221,73.07,300.9,74,98,7.73,overcast clouds
283,Buldana,IN,20.5333,76.1833,295.57,88,100,4.11,overcast clouds
